epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4323,1.60433,2.42986,1.23494,0.1899,0.16457,0.10623,0.06149,1.5899,2.69932,1.25137,0.000657005,0.000657005,0.000657005
2,26.2852,1.68331,2.05935,1.28924,0.34007,0.2212,0.18762,0.09015,2.02412,2.43892,1.57695,0.00131057,0.00131057,0.00131057
3,37.7705,1.81888,2.0231,1.36809,0.43227,0.26972,0.24618,0.12415,1.84572,2.86375,1.44356,0.00195093,0.00195093,0.00195093
4,48.8927,1.82122,2.00282,1.37336,0.38679,0.29429,0.25997,0.12698,1.82735,3.98131,1.47218,0.0019406,0.0019406,0.0019406
5,59.871,1.73153,1.88446,1.34418,0.46235,0.33212,0.31699,0.17422,1.7359,2.3243,1.38669,0.0019208,0.0019208,0.0019208
6,70.9429,1.71713,1.85102,1.32683,0.45386,0.34024,0.32776,0.18771,1.65782,2.47385,1.36365,0.001901,0.001901,0.001901
7,81.8443,1.69884,1.78586,1.30731,0.54724,0.3505,0.36414,0.18777,1.69634,2.14192,1.31805,0.0018812,0.0018812,0.0018812
8,92.937,1.68046,1.77103,1.30831,0.55061,0.39581,0.41798,0.23597,1.60962,1.78555,1.28758,0.0018614,0.0018614,0.0018614
9,104.101,1.641,1.7031,1.27981,0.51673,0.39196,0.39021,0.22346,1.60365,2.41004,1.31026,0.0018416,0.0018416,0.0018416
10,115.25,1.60903,1.70263,1.27327,0.43541,0.35157,0.33534,0.19581,1.5879,2.2949,1.32731,0.0018218,0.0018218,0.0018218
11,126.28,1.62916,1.69694,1.27587,0.54682,0.44433,0.44844,0.26871,1.4748,2.6617,1.2265,0.001802,0.001802,0.001802
12,137.221,1.61031,1.66109,1.25857,0.54684,0.42451,0.44279,0.25502,1.5192,1.68979,1.24608,0.0017822,0.0017822,0.0017822
13,148.334,1.57379,1.63235,1.25575,0.58393,0.42808,0.46027,0.27231,1.49805,1.542,1.2182,0.0017624,0.0017624,0.0017624
14,159.408,1.574,1.62004,1.2443,0.60993,0.44411,0.48181,0.28429,1.49626,1.61548,1.21109,0.0017426,0.0017426,0.0017426
15,170.394,1.5583,1.59402,1.2458,0.5913,0.43172,0.46403,0.28148,1.46717,1.51201,1.23139,0.0017228,0.0017228,0.0017228
16,181.41,1.55162,1.58356,1.23951,0.59474,0.45309,0.48281,0.28231,1.5103,1.48969,1.22689,0.001703,0.001703,0.001703
17,192.475,1.55735,1.58873,1.23067,0.60621,0.45758,0.48853,0.29368,1.46362,1.43537,1.20607,0.0016832,0.0016832,0.0016832
18,203.565,1.5392,1.55825,1.22883,0.61584,0.43984,0.48125,0.29394,1.43808,1.42553,1.19203,0.0016634,0.0016634,0.0016634
19,214.581,1.51199,1.50656,1.21631,0.5875,0.46442,0.48103,0.29483,1.42772,1.54392,1.18606,0.0016436,0.0016436,0.0016436
20,225.614,1.51685,1.52806,1.21651,0.58951,0.44197,0.46677,0.28668,1.44479,1.4837,1.19797,0.0016238,0.0016238,0.0016238
21,236.553,1.516,1.51088,1.21241,0.61105,0.46014,0.50066,0.30618,1.41082,1.40763,1.17709,0.001604,0.001604,0.001604
22,247.84,1.514,1.49492,1.20651,0.61959,0.46484,0.50509,0.3087,1.40771,1.40517,1.17491,0.0015842,0.0015842,0.0015842
23,258.791,1.50402,1.48208,1.20869,0.62526,0.45394,0.50056,0.30764,1.41917,1.41349,1.18126,0.0015644,0.0015644,0.0015644
24,269.769,1.51837,1.47476,1.21247,0.6415,0.46733,0.51413,0.31272,1.4012,1.39471,1.1771,0.0015446,0.0015446,0.0015446
25,280.658,1.47382,1.45259,1.19266,0.61922,0.46468,0.50592,0.30464,1.42829,1.43101,1.18185,0.0015248,0.0015248,0.0015248
26,291.6,1.46657,1.42425,1.18634,0.62994,0.47041,0.5072,0.31017,1.40235,1.39404,1.16673,0.001505,0.001505,0.001505
27,302.817,1.46594,1.43848,1.18866,0.65376,0.49391,0.54562,0.33713,1.36893,1.29888,1.16192,0.0014852,0.0014852,0.0014852
28,313.7,1.44052,1.4049,1.18141,0.65686,0.48942,0.5438,0.33889,1.36354,1.28874,1.15843,0.0014654,0.0014654,0.0014654
29,324.733,1.4571,1.4314,1.17964,0.66184,0.48472,0.534,0.32902,1.38244,1.33989,1.159,0.0014456,0.0014456,0.0014456
30,335.905,1.46283,1.40911,1.18298,0.63728,0.50887,0.55041,0.34718,1.33678,1.29766,1.14066,0.0014258,0.0014258,0.0014258
31,346.855,1.46468,1.40643,1.18142,0.65738,0.49092,0.54222,0.33813,1.35172,1.32361,1.14737,0.001406,0.001406,0.001406
32,357.796,1.45206,1.4071,1.17784,0.64596,0.49861,0.54791,0.34142,1.35263,1.32892,1.14291,0.0013862,0.0013862,0.0013862
33,368.803,1.45143,1.40199,1.1864,0.66156,0.50509,0.55783,0.35013,1.32676,1.24852,1.13553,0.0013664,0.0013664,0.0013664
34,379.799,1.44801,1.38305,1.1678,0.65114,0.51785,0.56834,0.35454,1.34651,1.24606,1.12906,0.0013466,0.0013466,0.0013466
35,390.835,1.43787,1.37746,1.16905,0.6614,0.52704,0.57441,0.36497,1.31212,1.25598,1.11846,0.0013268,0.0013268,0.0013268
36,401.994,1.43182,1.38263,1.17085,0.6729,0.50459,0.55959,0.35196,1.35066,1.22665,1.1474,0.001307,0.001307,0.001307
37,413.138,1.3954,1.32738,1.15443,0.66091,0.53046,0.57558,0.36453,1.31601,1.22193,1.12895,0.0012872,0.0012872,0.0012872
38,424.149,1.42808,1.36306,1.16565,0.65552,0.53131,0.5774,0.36605,1.30858,1.19746,1.11913,0.0012674,0.0012674,0.0012674
39,435.179,1.42181,1.34103,1.16552,0.66224,0.52404,0.58308,0.37171,1.28478,1.18651,1.10784,0.0012476,0.0012476,0.0012476
40,446.163,1.41072,1.33694,1.15408,0.66613,0.51592,0.57456,0.36465,1.31048,1.2069,1.11991,0.0012278,0.0012278,0.0012278
41,457.241,1.41468,1.3208,1.14434,0.6925,0.52319,0.5814,0.37401,1.28737,1.16779,1.10816,0.001208,0.001208,0.001208
42,468.327,1.40751,1.32456,1.15073,0.67925,0.53708,0.59269,0.37713,1.28295,1.17366,1.1105,0.0011882,0.0011882,0.0011882
43,479.284,1.39443,1.29653,1.14177,0.66252,0.54628,0.59377,0.38057,1.27448,1.20029,1.10402,0.0011684,0.0011684,0.0011684
44,490.158,1.40062,1.30311,1.15072,0.68753,0.53421,0.58998,0.37576,1.29555,1.1744,1.11376,0.0011486,0.0011486,0.0011486
45,501.139,1.35127,1.24329,1.12588,0.70976,0.5357,0.60193,0.38614,1.26571,1.15092,1.10353,0.0011288,0.0011288,0.0011288
